0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,69.09847886756535,65.15876877909578,67.89976132940085,65.15876877909578,75.20192175168627,65.15876877909578,71.25730792455762,65.15876877909578,69.09847886756535,67.89976132940085,67.89976132940085,67.89976132940085,79.61833961170134,70.32708710668275,76.99283678550484
65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,73.18707938324333,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,75.95085268319768,65.15876877909578,66.58807530386751
65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,67.89976132940085,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,69.09847886756535,71.25730792455762,69.09847886756535,67.89976132940085
65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,69.09847886756535,65.15876877909578,67.89976132940085,65.15876877909578,67.89976132940085,67.89976132940085,75.20192175168627,66.58807530386751,67.89976132940085,67.89976132940085,71.25730792455762,71.25730792455762,76.99283678550484
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,67.89976132940085,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,66.58807530386751,67.89976132940085,65.15876877909578,67.89976132940085,66.58807530386751,73.18707938324333,65.15876877909578,66.58807530386751,66.58807530386751,76.99283678550484,67.89976132940085,70.32708710668275
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,70.32708710668275,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,81.28232919184401,65.15876877909578,65.15876877909578
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,67.89976132940085,66.58807530386751,66.58807530386751,69.09847886756535,76.99283678550484,69.09847886756535,78.94681440560515
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,73.97779426498602,65.15876877909578,71.25730792455762,65.15876877909578,66.58807530386751,65.15876877909578,67.89976132940085,69.09847886756535,65.15876877909578
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,79.61833961170134,66.58807530386751,66.58807530386751
65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578
69.09847886756535,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,0.0,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,65.15876877909578,66.58807530386751,69.09847886756535,73.18707938324333,66.58807530386751,69.09847886756535
